##;ENG;FRA;ITA;SPA;GER;POL;;;;;X
PROV0;(Embarked);(Embarked);(Embarked);(Embarcado/s);(Embarked);(Embarked);;;;;x
PROV2140;Sape Strait;Sape Strait;Sape Strait;Estrecho de Sape;Sape-Straße;Sape Strait;;;;;X
PROV2141;Madura Strait;Madura Strait;Madura Strait;Estrecho de Madura;Madura-Straße;Madura Strait;;;;;X
PROV2142;Bali Strait;Bali Strait;Bali Strait;Estrecho de Bali;Bali-Straße;Bali Strait;;;;;X
PROV2143;Cape Awarawar;Cape Awarawar;Cape Awarawar;Cabo Awarawar;Kap Awarawar;Cape Awarawar;;;;;X
PROV2144;Gaspar Strait;Gaspar Strait;Gaspar Strait;Estrecho de Gaspar;Gaspar-Straße;Gaspar Strait;;;;;X
PROV2145;Serasan Strait;Serasan Strait;Serasan Strait;Estrecho de Serasan;Serasan-Straße;Serasan Strait;;;;;X
PROV2146;Bangka Strait;Bangka Strait;Bangka Strait;Estrecho de Bangka;Bangka-Straße;Bangka Strait;;;;;X
PROV2147;South Malacca Strait;South Malacca Strait;South Malacca Strait;Sur del Estrecho de Malaca;Südl. Malakka-Straße;South Malacca Strait;;;;;X
PROV2148;Bight of Bangkok;Bight of Bangkok;Bight of Bangkok;Ensenada de Bangkok;Bucht von Bangkok;Bight of Bangkok;;;;;X
PROV2149;East Gulf of Siam;East Gulf of Siam;East Gulf of Siam;Este del Golfo de Siam;Östl. Golf von Siam;East Gulf of Siam;;;;;X
PROV2150;West Gulf of Siam;West Gulf of Siam;West Gulf of Siam;Oeste del Golfo de Siam;Westl. Golf von Siam;West Gulf of Siam;;;;;X
PROV2151;Strait of Singapore;Strait of Singapore;Strait of Singapore;Estrecho de Singapur;Straße von Singapur;Strait of Singapore;;;;;X
PROV2152;South Spratly Sea;South Spratly Sea;South Spratly Sea;Mar del Sur de la China meridional;Südl. Südchinesisches Meer;South Spratly Sea;;;;;X
PROV2153;Brunei Bay;Brunei Bay;Brunei Bay;Bahía de Brunei;Brunei-Bucht;Brunei Bay;;;;;X
PROV2154;Central Spratly Sea;Central Spratly Sea;Central Spratly Sea;Mar del Sur de la China central;Mittl. Südchinesisches Meer;Central Spratly Sea;;;;;X
PROV2155;Camranh Bay;Camranh Bay;Camranh Bay;Bahía de Cam Ranh;Cam-Ranh-Bucht;Camranh Bay;;;;;X
PROV2156;Gulf of Tonkin;Gulf of Tonkin;Gulf of Tonkin;Golfo de Tonkín;Golf von Tonkin;Gulf of Tonkin;;;;;X
PROV2157;North Spratly Sea;North Spratly Sea;North Spratly Sea;Mar del Sur de la China septentrional;Nördl. Südchinesisches Meer;North Spratly Sea;;;;;X
PROV2158;Hainan Strait;Hainan Strait;Hainan Strait;Estrecho de Hainan;Hainan-Straße;Hainan Strait;;;;;X
PROV2159;Palawan Passage;Palawan Passage;Palawan Passage;Paso de Palawan;Palawan-Passage;Palawan Passage;;;;;X
PROV2160;West Celebes Sea;West Celebes Sea;West Celebes Sea;Oeste del Mar de Célebes;Westl. Celebessee;West Celebes Sea;;;;;X
PROV2161;Macassar Strait;Macassar Strait;Macassar Strait;Estrecho de Macassar;Makassar-Straße;Macassar Strait;;;;;X
PROV2162;North Molucca Sea;North Molucca Sea;North Molucca Sea;Norte del Mar de las Molucas;Nördl. Molukkensee;North Molucca Sea;;;;;X
PROV2163;Central Molucca Sea;Central Molucca Sea;Central Molucca Sea;Centro del Mar de las Molucas;Mittl. Molukkensee;Central Molucca Sea;;;;;X
PROV2164;Ceram Sea;Ceram Sea;Ceram Sea;Mar de Ceram;Ceramsee;Ceram Sea;;;;;X
PROV2165;North Banda Sea;North Banda Sea;North Banda Sea;Norte del Mar de Banda;Nördl. Bandasee;North Banda Sea;;;;;X
PROV2166;East Celebes Sea;East Celebes Sea;East Celebes Sea;Este del Mar de Célebes;Östl. Celebessee;East Celebes Sea;;;;;X
PROV2167;Geelvink Bay;Geelvink Bay;Geelvink Bay;Bahía de Geelvink;Geelvink-Bucht;Geelvink Bay;;;;;X
PROV2168;Humboldt Bay;Humboldt Bay;Humboldt Bay;Bahía de Humboldt;Humboldt-Bucht;Humboldt Bay;;;;;X
PROV2169;Dampier Strait;Dampier Strait;Dampier Strait;Estrecho de Dampier;Dampier-Straße;Dampier Strait;;;;;X
PROV2170;East Caroline Basin;East Caroline Basin;East Caroline Basin;Cuenca de las Carolinas orientales;Östl. Karolinenbecken;East Caroline Basin;;;;;X
PROV2171;Southwest Marshalls;Southwest Marshalls;Southwest Marshalls;Islas Marshall suroccidentales;Südwestl. Marshall-Inseln;Southwest Marshalls;;;;;X
PROV2172;Central Marshalls;Central Marshalls;Central Marshalls;Islas Marshall centrales;Mittl. Marshall-Inseln;Central Marshalls;;;;;X
PROV2173;South Magellan Seamounts;South Magellan Seamounts;South Magellan Seamounts;Montes submarinos meridionales de Magallanes;Südl. Magellan-Tiefseeberge;South Magellan Seamounts;;;;;X
PROV2174;South East Mariana Basin;South East Mariana Basin;South East Mariana Basin;Cuenca sur de las Marianas orientales;Südöstl. Marianenbecken;South East Mariana Basin;;;;;X
PROV2175;South Mariana Trench;South Mariana Trench;South Mariana Trench;Sur de la Fosa de las Marianas;Südl. Marianengraben;South Mariana Trench;;;;;X
PROV2176;Mariana Trough;Mariana Trough;Mariana Trough;Monte submarino de las Marianas;Marianentiefe;Mariana Trough;;;;;X
PROV2177;Yap Trench;Yap Trench;Yap Trench;Fosa de Yap;Yap-Graben;Yap Trench;;;;;X
PROV2178;West Caroline Basin;West Caroline Basin;West Caroline Basin;Cuenca de las Carolinas occidentales;Westl. Karolinenbecken;West Caroline Basin;;;;;X
PROV2179;Buka Passage;Buka Passage;Buka Passage;Paso de Buka;Buka-Passage;Buka Passage;;;;;X
PROV2180;Southeast Marshalls;Southeast Marshalls;Southeast Marshalls;Islas Marshall surorientales;Südöstl. Marshall-Inseln;Southeast Marshalls;;;;;X
PROV2181;North Mariana Trench;North Mariana Trench;North Mariana Trench;Norte de la Fosa de las Marianas;Nördl. Marianengraben;North Mariana Trench;;;;;X
PROV2182;West Mariana Basin;West Mariana Basin;West Mariana Basin;Cuenca de las Marianas occidentales;Westl. Marianenbecken;West Mariana Basin;;;;;X
PROV2183;North Kyushu-Palau Trench;North Kyushu-Palau Trench;North Kyushu-Palau Trench;Norte de la Fosa Kyushu-Palau;Nördl. Kiuschu-Palau-Rücken;North Kyushu-Palau Trench;;;;;X
PROV2184;Ryukyu Trench;Ryukyu Trench;Ryukyu Trench;Fosa de las Ryukyu ;Ryukyu-Graben;Ryukyu Trench;;;;;X
PROV2185;South Ryukyu;South Ryukyu;South Ryukyu;Ryukyu meridionales;Südl. Ryukyu-Inseln;South Ryukyu;;;;;X
PROV2186;Hangzhou Bay;Hangzhou Bay;Hangzhou Bay;Bahía de Hangzhou;Bucht von Hangzhou;Hangzhou Bay;;;;;X
PROV2187;North Ryukyu;North Ryukyu;North Ryukyu;Ryukyu septentrionales;Nördl. Ryukyu-Inseln;North Ryukyu;;;;;X
PROV2188;South Yellow Sea;South Yellow Sea;South Yellow Sea;Sur del Mar Amarillo;Südl. Gelbes Meer;South Yellow Sea;;;;;X
PROV2189;North Yellow Sea;North Yellow Sea;North Yellow Sea;Norte del Mar Amarillo;Nördl. Gelbes Meer;North Yellow Sea;;;;;X
PROV2190;Bohai Sea;Bohai Sea;Bohai Sea;Mar de Bohai;Golf von Bohai;Bohai Sea;;;;;X
PROV2191;Vladivostok Bay;Vladivostok Bay;Vladivostok Bay;Bahía de Vladivostok;Bucht von Wladiwostok;Vladivostok Bay;;;;;X
PROV2192;Tsushima Strait;Tsushima Strait;Tsushima Strait;Estrecho de Tsushima;Tsuschima-Straße;Tsushima Strait;;;;;X
PROV2193;Inland Sea;Inland Sea;Inland Sea;Mar interior;Inlandsee;Inland Sea;;;;;X
PROV2194;Toyama Bay;Toyama Bay;Toyama Bay;Bahía de Toyama;Toyama-Bucht;Toyama Bay;;;;;X
PROV2195;Izu Trench;Izu Trench;Izu Trench;Fosa de Izu;Izu-Graben;Izu Trench;;;;;X
PROV2196;Bonin Trench;Bonin Trench;Bonin Trench;Fosa de Bonin;Bonin-Graben;Bonin Trench;;;;;X
PROV2197;North East Mariana Basin;North East Mariana Basin;North East Mariana Basin;Cuenca norte de las Marianas orientales;Nordöstl. Marianenbecken;North East Mariana Basin;;;;;X
PROV2198;North Magellan Seamounts;North Magellan Seamounts;North Magellan Seamounts;Montes submarinos septentrionales de Magallanes;Nördl. Magellan-Tiefseeberge;North Magellan Seamounts;;;;;X
PROV2199;Northwest Marshalls;Northwest Marshalls;Northwest Marshalls;Noroeste de las Marshall;Nordwestl. Marshall-Inseln;Northwest Marshalls;;;;;X
PROV2200;Southwest Mid-Pacific Mountains;Southwest Mid-Pacific Mountains;Southwest Mid-Pacific Mountains;Suroeste de las Montañas del Pacífico medio;Südwestl. Zentralpazif. Berge;Southwest Mid-Pacific Mountains;;;;;X
PROV2201;Southeast Mid-Pacific Mountains;Southeast Mid-Pacific Mountains;Southeast Mid-Pacific Mountains;Sureste de las Montañas del Pacífico medio;Südöstl. Zentralpazif. Berge;Southeast Mid-Pacific Mountains;;;;;X
PROV2202;Northeast Marshalls;Northeast Marshalls;Northeast Marshalls;Islas Marshall nororientales;Nordöstl. Marshall-Inseln;Northeast Marshalls;;;;;X
PROV2203;Mapmaker Seamounts;Mapmaker Seamounts;Mapmaker Seamounts;Montes submarinos Mapmaker;Mapmaker-Tiefseeberge;Mapmaker Seamounts;;;;;X
PROV2204;Grosvenor Seamount;Grosvenor Seamount;Grosvenor Seamount;Monte submarino Grosvenor;Grosvenor-Tiefseeberg;Grosvenor Seamount;;;;;X
PROV2205;Japan Trench;Japan Trench;Japan Trench;Fosa del Japón;Japan-Graben;Japan Trench;;;;;X
PROV2206;Makarov Seamount;Makarov Seamount;Makarov Seamount;Monte submarino Makarov;Makarow-Tiefseeberg;Makarov Seamount;;;;;X
PROV2207;Shatskiy Rise;Shatskiy Rise;Shatskiy Rise;Farallón de Shatskiy;Shatsky-Rücken;Shatskiy Rise;;;;;X
PROV2208;Emperor Seamounts;Emperor Seamounts;Emperor Seamounts;Dorsal del Emperador;Imperator-Tiefseeberge;Emperor Seamounts;;;;;X
PROV2209;Hess Rise;Hess Rise;Hess Rise;Farallón de Hess;Hess-Rücken;Hess Rise;;;;;X
PROV2210;Isakov Seamount;Isakov Seamount;Isakov Seamount;Monte submarino Isakov;Isakow-Tiefseeberg;Isakov Seamount;;;;;X
PROV2211;South Kurile Trench;South Kurile Trench;South Kurile Trench;Fosa meridional de las Kuriles;Südkurilischer Graben;South Kurile Trench;;;;;X
PROV2212;Abashiri Bay;Abashiri Bay;Abashiri Bay;Bahía de Abashiri;Abashiri-Bucht;Abashiri Bay;;;;;X
PROV2213;Tsugaru Strait;Tsugaru Strait;Tsugaru Strait;Estrecho de Tsugaru;Tsugaru-Straße;Tsugaru Strait;;;;;X
PROV2214;West Kuril Basin;West Kuril Basin;West Kuril Basin;Cuenca occidental de las Kuriles;Westl. Kurilenbecken;West Kuril Basin;;;;;X
PROV2215;Southern Gulf of Tartary;Southern Gulf of Tartary;Southern Gulf of Tartary;Golfo de Tartaria meridional;Südl. Tartarischer Sund;Southern Gulf of Tartary;;;;;X
PROV2216;Northern Gulf of Tartary;Northern Gulf of Tartary;Northern Gulf of Tartary;Golfo de Tartaria septentrional;Nördl. Tartarischer Sund;Northern Gulf of Tartary;;;;;X
PROV2217;Gulf of Sakhalin;Gulf of Sakhalin;Gulf of Sakhalin;Golfo de Sajalín;Golf von Sachalin;Gulf of Sakhalin;;;;;X
PROV2218;Ulban Bay;Ulban Bay;Ulban Bay;Bahía de Ulban;Ulban-Bucht;Ulban Bay;;;;;X
PROV2219;Erinea Gulf;Erinea Gulf;Erinea Gulf;Golfo de Erinea;Erinea-Golf;Erinea Gulf;;;;;X
PROV2220;Central Sea of Okhotsk;Central Sea of Okhotsk;Central Sea of Okhotsk;Mar de Ojotsk central;Zentr. Ochotskisch. Meer;Central Sea of Okhotsk;;;;;X
PROV2221;Taui Bay;Taui Bay;Taui Bay;Bahía de Taui;Taui-Bucht;Taui Bay;;;;;X
PROV2222;East Kuril Basin;East Kuril Basin;East Kuril Basin;Cuenca oriental de las Kuriles;Ostkurilisches Becken;East Kuril Basin;;;;;X
PROV2223;Kurile Strait;Kurile Strait;Kurile Strait;Estrecho de las Kuriles;Kurilenstraße;Kurile Strait;;;;;X
PROV2224;East Sea of Okhotsk;East Sea of Okhotsk;East Sea of Okhotsk;Mar de Ojotsk oriental;Östl. Ochotskisch. Meer;East Sea of Okhotsk;;;;;X
PROV2225;Shelikhov Gulf;Shelikhov Gulf;Shelikhov Gulf;Golfo de Shelejovo;Schelichowgolf;Shelikhov Gulf;;;;;X
PROV2226;Penzhina Bay;Penzhina Bay;Penzhina Bay;Bahía de Penzhina;Penschina-Bucht;Penzhina Bay;;;;;X
PROV2227;Kronotski Bay;Kronotski Bay;Kronotski Bay;Bahía de Kronoki;Kronotski-Bucht;Kronotski Bay;;;;;X
PROV2228;Gulf of Kamchatka;Gulf of Kamchatka;Gulf of Kamchatka;Golfo de Kamchatka;Golf von Kamtschatka;Gulf of Kamchatka;;;;;X
PROV2229;North Kurile Trench;North Kurile Trench;North Kurile Trench;Fosa septentrional de las Kuriles;Nördl. Kurilengraben;North Kurile Trench;;;;;X
PROV2230;Southwest Aleutian Basin;Southwest Aleutian Basin;Southwest Aleutian Basin;Cuenca suroccidental de las Aleutianas;Südwestl. Aleutenbecken;Southwest Aleutian Basin;;;;;X
PROV2231;South Aleutian Basin;South Aleutian Basin;South Aleutian Basin;Cuenca sur de las Aleutianas;Südl. Aleutenbecken;South Aleutian Basin;;;;;X
PROV2232;Central Aleutian Basin;Central Aleutian Basin;Central Aleutian Basin;Cuenca central de las Aleutianas;Zentrales Aleutenbecken;Central Aleutian Basin;;;;;X
PROV2233;West Aleutian Basin;West Aleutian Basin;West Aleutian Basin;Cuenca oeste de las Aleutianas;Westl. Aleutenbecken;West Aleutian Basin;;;;;X
PROV2234;Northwest Aleutian Basin;Northwest Aleutian Basin;Northwest Aleutian Basin;Cuenca noroccidental de las Aleutianas;Nordwestl. Aleutenbecken;Northwest Aleutian Basin;;;;;X
PROV2235;South Shirshov Ridge;South Shirshov Ridge;South Shirshov Ridge;Dorsal meridional de Shirshov;Südl. Schirschow-Rücken;South Shirshov Ridge;;;;;X
PROV2236;Olyutorskiy Gulf;Olyutorskiy Gulf;Olyutorskiy Gulf;Golfo de Oliotur;Kap Oljutorski;Olyutorskiy Gulf;;;;;X
PROV2237;Gulf of Anadyr;Gulf of Anadyr;Gulf of Anadyr;Golfo de Anadir;Golf von Anadyr;Gulf of Anadyr;;;;;X
PROV2238;North Shirshov Ridge;North Shirshov Ridge;North Shirshov Ridge;Dorsal septentrional de Shirshov;Nördl. Schirschow-Rücken;North Shirshov Ridge;;;;;X
PROV2239;North Aleutian Basin;North Aleutian Basin;North Aleutian Basin;Cuenca septentrional de las Aleutianas;Nördl. Aleutenbecken;North Aleutian Basin;;;;;X
PROV2240;Gulf of Ob;Gulf of Ob;Gulf of Ob;Golfo de Ob;Obbusen;Gulf of Ob;;;;;X
PROV2241;Lake Baikal;Lake Baikal;Lake Baikal;Lago Baikal;Baikalsee;Lake Baikal;;;;;X
PROV2242;Lake Poyang;Lake Poyang;Lake Poyang;Lago Poyang;Pojangsee;Lake Poyang;;;;;X
PROV2243;Lake Dongting;Lake Dongting;Lake Dongting;Lago Dongting;Tungtingsee;Lake Dongting;;;;;X
PROV2244;Lake Qinghai;Lake Qinghai;Lake Qinghai;Lago Qinghai;Qinghai-See;Lake Qinghai;;;;;X
PROV2245;Lake Zaysan;Lake Zaysan;Lake Zaysan;Lago Zaisan;Sissansee;Lake Zaysan;;;;;X
PROV2246;Lake Balkhash;Lake Balkhash;Lake Balkhash;Lago Baljash;Balchaschsee;Lake Balkhash;;;;;X
PROV2247;East Carolines;East Carolines;East Carolines;Carolinas orientales;Östl. Karolinen;East Carolines;;;;;X
PROV2248;North Carolines;North Carolines;North Carolines;Carolinas septentrionales;Nördl. Karolinen;North Carolines;;;;;X
PROV2249;Central Carolines;Central Carolines;Central Carolines;Carolinas centrales;Zentr. Karolinen;Central Carolines;;;;;X
PROV2250;South Philippine Trench;South Philippine Trench;South Philippine Trench;Sur de la Fosa de las Filipinas;Südl. Philippinengraben;South Philippine Trench;;;;;X
PROV2251;Davao Gulf;Davao Gulf;Davao Gulf;Golfo de Davao;Golf von Davao;Davao Gulf;;;;;X
PROV2252;Panay Gulf;Panay Gulf;Panay Gulf;Golfo de Panay;Golf von Panay;Panay Gulf;;;;;X
PROV2253;Surigao Strait;Surigao Strait;Surigao Strait;Estrecho de Surigao;Surigao-Straße;Surigao Strait;;;;;X
PROV2254;Sibuyan Sea;Sibuyan Sea;Sibuyan Sea;Mar de Sibuyan;Sibuyan-See;Sibuyan Sea;;;;;X
PROV2255;Leyte Gulf;Leyte Gulf;Leyte Gulf;Golfo de Leyte;Golf von Leyte;Leyte Gulf;;;;;X
PROV2256;Manila Bay;Manila Bay;Manila Bay;Bahía de Manila;Manila-Bucht;Manila Bay;;;;;X
PROV2257;Lingayen Gulf;Lingayen Gulf;Lingayen Gulf;Golfo de Lingayen;Golf von Lingayen;Lingayen Gulf;;;;;X
PROV2258;Lamon Bay;Lamon Bay;Lamon Bay;Bahía de Lamon;Lamon-Bucht;Lamon Bay;;;;;X
PROV2259;San Bernardino Strait;San Bernardino Strait;San Bernardino Strait;Estrecho de San Bernardino;San-Bernardino-Straße;San Bernardino Strait;;;;;X
PROV2260;Oras Bay;Oras Bay;Oras Bay;Bahía de Oras;Oras-Bucht;Oras Bay;;;;;X
PROV2261;Divilacan Bay;Divilacan Bay;Divilacan Bay;Bahía de Divilacan;Divilacan-Bucht;Divilacan Bay;;;;;X
PROV2262;Babuyan Channel;Babuyan Channel;Babuyan Channel;Canal de Babuyán;Babuyan-Kanal;Babuyan Channel;;;;;X
PROV2263;Shenquan Gulf;Shenquan Gulf;Shenquan Gulf;Golfo de Shenquan;Golf von Schantou;Shenquan Gulf;;;;;X
PROV2264;North Philippine Trench;North Philippine Trench;North Philippine Trench;Norte de la Fosa de las Filipinas;Nördl. Philippinengraben;North Philippine Trench;;;;;X
PROV2265;Central Philippine Trench;Central Philippine Trench;Central Philippine Trench;Centro de la Fosa de las Filipinas;Mittl. Philippinengraben;Central Philippine Trench;;;;;X
PROV2266;South Kyushu-Palau Trench;South Kyushu-Palau Trench;South Kyushu-Palau Trench;Sur de la Fosa Kyushu-Palau;Südl. Kiuschu-Palau-Rücken;South Kyushu-Palau Trench;;;;;X
PROV2267;Palau Trench;Palau Trench;Palau Trench;Fosa de Palau;Palau-Graben;Palau Trench;;;;;X
PROV2268;Cape Alguhas;Cape Alguhas;Cape Alguhas;Cabo de las Agujas;Kap Agulhas;Cape Alguhas;;;;;X
PROV2269;False Bay;False Bay;False Bay;Bahía Falsa;False-Bucht;False Bay;;;;;X
PROV2270;West Walvis Ridge;West Walvis Ridge;West Walvis Ridge;Dorsal de Walvis occidental;Westl. Walfischrücken;West Walvis Ridge;;;;;X
PROV2271;Central Angola Plain;Central Angola Plain;Central Angola Plain;Llanura central de Angola;Mittl. Angolabecken;Central Angola Plain;;;;;X
PROV2272;East Walvis Ridge;East Walvis Ridge;East Walvis Ridge;Dorsal de Walvis oriental;Östl. Walfischrücken;East Walvis Ridge;;;;;X
PROV2273;McDougall's Bay;McDougall's Bay;McDougall's Bay;Bahía de MacDougall;McDougalls Bucht;McDougall's Bay;;;;;X
PROV2274;Walvis Bay;Walvis Bay;Walvis Bay;Bahía de Walvis;Walfischbucht;Walvis Bay;;;;;X
PROV2275;Cape Fria;Cape Fria;Cape Fria;Cabo Fria;Kap Frio;Cape Fria;;;;;X
PROV2276;Coast of Angola;Coast of Angola;Coast of Angola;Costa de Angola;Küste von Angola;Coast of Angola;;;;;X
PROV2277;East Congo Cone;East Congo Cone;East Congo Cone;Cono oriental del Congo;Östl. Kongo-Kegel;East Congo Cone;;;;;X
PROV2278;Cape Lopez;Cape Lopez;Cape Lopez;Cabo López;Kap Lopez;Cape Lopez;;;;;X
PROV2279;Bay of Corisco;Bay of Corisco;Bay of Corisco;Bahía de Corisco;Bucht von Corisco;Bay of Corisco;;;;;X
PROV2280;Niger Delta;Niger Delta;Niger Delta;Delta del Níger;Nigerdelta;Niger Delta;;;;;X
PROV2281;Lake Chad;Lake Chad;Lake Chad;Lago Chad;Tschadsee;Lake Chad;;;;;X
PROV2282;Lake Victoria;Lake Victoria;Lake Victoria;Lago Victoria;Viktoriasee;Lake Victoria;;;;;X
PROV2283;Lake Tanganyika;Lake Tanganyika;Lake Tanganyika;Lago Tanganica;Tanganjikasee;Lake Tanganyika;;;;;X
PROV2284;Lake Nyasa;Lake Nyasa;Lake Nyasa;Lago Nyasa;Njassasee;Lake Nyasa;;;;;X
PROV2285;East Guinea Bay;East Guinea Bay;East Guinea Bay;Este del Golfo de Guinea;Östl. Guinea-Bucht;East Guinea Bay;;;;;X
PROV2286;West Congo Cone;West Congo Cone;West Congo Cone;Cono occidental del Congo;Westl. Kongo-Kegel;West Congo Cone;;;;;X
PROV2287;East Guinea Basin;East Guinea Basin;East Guinea Basin;Cuenca este de Guinea;Östl. Guineabecken;East Guinea Basin;;;;;X
PROV2288;Centralwest Guinea Bay;Centralwest Guinea Bay;Centralwest Guinea Bay;Centro-oeste del Golfo de Guinea;Mittelwestl. Guinea-Bucht;Centralwest Guinea Bay;;;;;X
PROV2289;Slave Coast;Slave Coast;Slave Coast;Costa de los Esclavos;Sklavenküste;Slave Coast;;;;;X
PROV2290;Gold Coast;Gold Coast;Gold Coast;Costa de Oro;Goldküste;Gold Coast;;;;;X
PROV2291;Ivory Coast;Ivory Coast;Ivory Coast;Costa de Marfil;Elfenbeinküste;Ivory Coast;;;;;X
PROV2292;Pepper Coast;Pepper Coast;Pepper Coast;Costa de las Especies;Pfefferküste;Pepper Coast;;;;;X
PROV2293;Leonean Archipelago;Leonean Archipelago;Leonean Archipelago;Archipiélago de Sierra Leona;Sierra-Leone-Archipel;Leonean Archipelago;;;;;X
PROV2294;Bijagos Archipelago;Bijagos Archipelago;Bijagos Archipelago;Archipiélago de Bijagos;Bissagos-Archipel;Bijagos Archipelago;;;;;X
PROV2295;Gambian Basin;Gambian Basin;Gambian Basin;Cuenca de Gambia;Gambisches Becken;Gambian Basin;;;;;X
PROV2296;Bay of Gambia;Bay of Gambia;Bay of Gambia;Bahía de Gambia;Bucht von Gambia;Bay of Gambia;;;;;X
PROV2297;Cap Blanc;Cap Blanc;Cap Blanc;Cabo Blanco;Kap Blanco;Cap Blanc;;;;;X
PROV2298;South Cap Verde Approach;South Cap Verde Approach;South Cap Verde Approach;Linde del sur de Cabo Verde;Südl. Kap-Verde-Becken;South Cap Verde Approach;;;;;X
PROV2299;North Cap Verde Approach;North Cap Verde Approach;North Cap Verde Approach;Linde del norte de Cabo Verde;Nördl. Kap-Verde-Becken;North Cap Verde Approach;;;;;X
PROV2300;Canary Approach;Canary Approach;Canary Approach;Linde de Canaria;Kanarenbecken;Canary Approach;;;;;X
PROV2301;Gulf of Cintra;Gulf of Cintra;Gulf of Cintra;Golfo de Cintra;Golf von Cintra;Gulf of Cintra;;;;;X
PROV2302;Cap Bojador;Cap Bojador;Cap Bojador;Cabo Bojador;Kap Bojador;Cap Bojador;;;;;X
PROV2303;Cap Draa;Cap Draa;Cap Draa;Cabo Drâa;Kap Draa;Cap Draa;;;;;X
PROV2304;Sea of Azores South;Sea of Azores South;Sea of Azores South;Sur del Mar de las Azores;Südl. Azorenbecken;Sea of Azores South;;;;;X
PROV2305;East Mid-Atlantic Ridge;East Mid-Atlantic Ridge;East Mid-Atlantic Ridge;Dorsal oriental del Atlántico medio;Östl. Zentralatlant. Rücken;East Mid-Atlantic Ridge;;;;;X
PROV2306;East Central Mid-Atlantic Ridge;East Central Mid-Atlantic Ridge;East Central Mid-Atlantic Ridge;Dorsal oriental-central del Atlántico medio;Östl. Zentralatlant. Rücken;East Central Mid-Atlantic Ridge;;;;;X
PROV2307;Northern South-Central Mid-Atlantic Ridge;Northern South-Central Mid-Atlantic Ridge;Northern South-Central Mid-Atlantic Ridge;Norte de la dorsal sur-central del Atlántico medio;Nördl. Südzentralatlant. Rücken;Northern South-Central Mid-Atlantic Ridge;;;;;X
PROV2308;Southern Central Mid-Atlantic Ridge;Southern Central Mid-Atlantic Ridge;Southern Central Mid-Atlantic Ridge;Sur de la dorsal central del Atlántico medio;Südl. Zentralatlant. Rücken;Southern Central Mid-Atlantic Ridge;;;;;X
PROV2309;Northern Central Mid-Atlantic Ridge;Northern Central Mid-Atlantic Ridge;Northern Central Mid-Atlantic Ridge;Norte de la dorsal central del Atlántico medio;Nördl. Zentralatlant. Rücken;Northern Central Mid-Atlantic Ridge;;;;;X
PROV2310;South-Eastern Saragasso Sea;South-Eastern Saragasso Sea;South-Eastern Saragasso Sea;Sureste del Mar de los Sargazos;Südöstl. Sargassosee;South-Eastern Saragasso Sea;;;;;X
PROV2311;Eastern Sargasso Sea;Eastern Sargasso Sea;Eastern Sargasso Sea;Este del Mar de los Sargazos;Östl. Sargassosee;Eastern Sargasso Sea;;;;;X
PROV2312;East Bermuda;East Bermuda;East Bermuda;Bermudas orientales;Nördl. Mittl. Sargassosee;East Bermuda;;;;;X
PROV2313;Northern Guiana Basin;Northern Guiana Basin;Northern Guiana Basin;Cuenca norte de las Guayanas;Nordwestl. Guayanabecken;Northern Guiana Basin;;;;;X
PROV2314;South Bermuda;South Bermuda;South Bermuda;Bermudas meridionales;Südl. Mittl. Sargassosee;South Bermuda;;;;;X
PROV2315;West Bermuda;West Bermuda;West Bermuda;Bermudas occidentales;Westl. Sargassosee;West Bermuda;;;;;X
PROV2316;Blake Plateau;Blake Plateau;Blake Plateau;Meseta marina de Blake;Blake-Plateau;Blake Plateau;;;;;X
PROV2317;Cape Canaveral;Cape Canaveral;Cape Canaveral;Cabo Cañaveral;Kap Canaveral;Cape Canaveral;;;;;X
PROV2318;Cape Fear;Cape Fear;Cape Fear;Cabo Fear;Kap Fear;Cape Fear;;;;;X
PROV2319;Lake Erie;Lake Erie;Lake Erie;Lago Erie;Eriesee;Lake Erie;;;;;X
PROV2320;Lake Ontario;Lake Ontario;Lake Ontario;Lago Ontario;Ontariosee;Lake Ontario;;;;;X
PROV2321;Lake Huron;Lake Huron;Lake Huron;Lago Hurón;Huronsee;Lake Huron;;;;;X
PROV2322;Lake Michigan;Lake Michigan;Lake Michigan;Lago Michigan;Michigansee;Lake Michigan;;;;;X
PROV2323;Lake Superior;Lake Superior;Lake Superior;Lago Superior;Oberer See;Lake Superior;;;;;X
PROV2324;Lake Nipigon;Lake Nipigon;Lake Nipigon;Lago Nipigon;Nipigonsee;Lake Nipigon;;;;;X
PROV2325;Lake Manitoba;Lake Manitoba;Lake Manitoba;Lago Manitoba;Manitobasee;Lake Manitoba;;;;;X
PROV2326;Lake Winnipeg;Lake Winnipeg;Lake Winnipeg;Lago Winnipeg;Winnipegsee;Lake Winnipeg;;;;;X
PROV2327;Lake Winnipegosis;Lake Winnipegosis;Lake Winnipegosis;Lago Winnipegosis;Winnipegosissee;Lake Winnipegosis;;;;;X
PROV2328;Great Slave Lake;Great Slave Lake;Great Slave Lake;Gran Lago del Esclavo;Großer Sklavensee;Great Slave Lake;;;;;X
PROV2329;Great Bear Lake;Great Bear Lake;Great Bear Lake;Gran Lago del Oso;Großer Bärensee;Great Bear Lake;;;;;X
PROV2330;Chesterfield Inlet;Chesterfield Inlet;Chesterfield Inlet;Rada de Chesterfield;Chesterfield Inlet;Chesterfield Inlet;;;;;X
